---,SpawnObjectTID,SpawnPosition,SpawnRotation,SpawnCount,SpawnInterval
8001,"2001","(X=-2120.000000,Y=4430.000000,Z=145.841030)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","0","0.000000"
8002,"2001","(X=-1840.000000,Y=4440.000000,Z=145.287440)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","0","0.000000"
8003,"2001","(X=-1590.000000,Y=4450.000000,Z=145.307942)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","0","0.000000"
8004,"2001","(X=-2120.000000,Y=3930.000000,Z=145.841030)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","0","0.000000"
8005,"2001","(X=-1840.000000,Y=3940.000000,Z=145.287440)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","0","0.000000"
8006,"2001","(X=-1590.000000,Y=3950.000000,Z=145.841030)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","0","0.000000"
8007,"2001","(X=-2120.000000,Y=3430.000000,Z=145.841030)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","0","0.000000"
8008,"2001","(X=-1840.000000,Y=3440.000000,Z=145.287440)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","0","0.000000"
8009,"2001","(X=-1590.000000,Y=3450.000000,Z=145.841030)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","0","0.000000"
8010,"2003","(X=-1880.000000,Y=-12000.000000,Z=1030.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","0","0.000000"
8011,"2002","(X=-1430.000000,Y=-3230.000000,Z=602.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","0","0.000000"
8012,"2002","(X=-2400.000000,Y=-3230.000000,Z=602.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","0","0.000000"
8013,"2002","(X=-1860.000000,Y=2260.000000,Z=145.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","0","0.000000"
8014,"2002","(X=-1540.000000,Y=2260.000000,Z=145.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","0","0.000000"
8015,"2002","(X=-2190.000000,Y=2260.000000,Z=145.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","0","0.000000"
8016,"2001","(X=-2310.000000,Y=-1300.000000,Z=106.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","0","0.000000"
8017,"2001","(X=-2310.000000,Y=-300.000000,Z=106.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","0","0.000000"
8018,"2001","(X=-2310.000000,Y=700.000000,Z=106.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","0","0.000000"
8019,"2001","(X=-1550.000000,Y=700.000000,Z=106.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","0","0.000000"
8020,"2001","(X=-1550.000000,Y=-300.000000,Z=106.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","0","0.000000"
8021,"2001","(X=-1550.000000,Y=-1300.000000,Z=106.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","0","0.000000"
