---,TablePath,IsLoad
MainWidgetTable,"/Game/DataTable/DT_MainWidgetTable","True"
SkeletalMeshTable,"/Game/DataTable/DT_SkeletalMeshTable","True"
AnimationTable,"/Game/DataTable/DT_AnimationTable","True"
DefineTable,"/Game/DataTable/DT_DefineTable","True"
PlayerTable,"/Game/DataTable/DT_PlayerTable","True"
CameraArmTable,"/Game/DataTable/DT_CameraArmTable","True"
CollisionTable,"/Game/DataTable/DT_CollisionTable","True"
MapTable,"/Game/DataTable/DT_MapTable","True"
SpawnTable,"/Game/DataTable/DT_SpawnTable","True"
MonsterTable,"/Game/DataTable/DT_MonsterTable","True"
TagTable,"/Game/DataTable/DT_TagTable","True"
AITable,"/Game/DataTable/DT_AITable","True"
StatTable,"/Game/DataTable/DT_StatTable","True"
SkillTable,"/Game/DataTable/DT_SkillTable","True"
TextureTable,"/Game/DataTable/DT_TextureTable","True"
